"Branch
 Name","Branch
Group","Data
Type",MC Only?,"Which Trees Is 
This Filled In?
(MasterAnaDev, Truth, Meta)","Branch 
Content Description","Branch 
Use Description
(MAT/MAT-MINERvA
locations/analyses)",Public-facing Document,
,,,,,,,,
part_response_recoil_allNonMuonClusters_<subdetector>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"Number of Clusters in-time-with-the-vertex (-20, 35 ns window) that are not attached to the primary lepton at all. This is broken down by subdetector: nucl - nuclear target region, tracker - tracker region, ecal - downstream and side ecal, hcal - downstream hcal, quarterhcal - most upstream 1/4 of the downstream HCAL, resthcal - downstream 3/4 of downstream HCAL,  """" - all",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_<subdetector>_<particle>_<id/od/"""">",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"Total amount of passive-material corrected, calibrated energy from MC truth <particle>: em - [pi0, electrons/positrons], muon - [both charge muons], meson- [charged pions , all kaons], low_neutron-[neutrons below 50 MeV KE], mid_neutron-[neutrons from 50-150 MeV KE], high_neutron-[neutrons above 150 MeV KE], proton-[all protons], low_proton-[protons below 50 MeV KE], mid_proton-[protons from 50-100 MeV KE], high_proton-[protons above 100 MeV KE], xtalk-[true optical cross talk], none-[no mathced particle], other-[anything else], in the inner detector ""id"" and outer detector ""od"", for the cluster set in question. For the subdetectors that aren't the complete set """", there are not specific id/od separation, as they are all id.",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_<subdetector>_<particle>_<id/od/"""">_err",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,The MC particle contribution varied with its standard systemtatic.,Used in particle response systematics,,
part_response_total_recoil_passive_allNonMuonClusters_<subdetector>,Particle Response and Systematics,Double,No,MasterAnaDev,"Total amount of passive-material corrected, calibrated energy from cluster set in question, and in subdetector in question. Available subdetectors are described for the MC truth branches above, with an additional category for inner detector total ""id"" and outer detector total ""od""",Used in defining particle response,,
part_response_recoil_allNonMuonClusters_outside100mm_<subdetector>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"Same as ""allNonMuonClusters"", but with the extra restriction of being at least 100mm away from the interaction vertex",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_outside100mm_<subdetector>_<particle>_<id/od/"""">",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_outside100mm_<subdetector>_<particle>_<id/od/"""">_err",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Used in particle response systematics,,
part_response_total_recoil_passive_allNonMuonClusters_outside100mm_<subdetector>,Particle Response and Systematics,Double,No,MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the total subdetector passive-corrected, calibrated energies",Used in defining particle response,,
part_response_recoil_allNonMuonClusters_unused_<subdetector>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"Same as ""allNonMuonClusters"", but with the extra restriction of not being a part of any tracks, vertex blobs, or isolated inner detector blobs (reconstruction geared towards non-neutron isolated activity)",Used in particle response systematics,,
